price,area_sqft,location,bhk,is_resale,amenity_gym,lift,parking,amenity_maintenance,amenity_security,amenity_kids_play,amenity_clubhouse,amenity_intercom,amenity_gardens,amenity_indoor_games,amenity_gas,amenity_jogging,amenity_pool,price_per_sqft,amenity_count
4850000,720,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6736.111111111111,2
4500000,600,kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,7500.0,6
6700000,650,kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10307.692307692309,8
4500000,650,kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6923.076923076923,4
5000000,665,kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7518.796992481203,4
17000000,2000,kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8500.0,9
12500000,1550,kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0,8064.5161290322585,5
10500000,1370,sector_13_kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,7664.233576642336,3
10500000,1356,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,7743.362831858407,7
15000000,1680,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8928.57142857143,11
8700000,980,kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1,8877.551020408164,8
9000000,1000,kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9000.0,6
11000000,1060,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10377.358490566037,8
10500000,1095,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,9589.04109589041,9
9700000,1155,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8398.268398268398,9
10500000,1150,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9130.434782608696,9
8000000,1250,sector_18_kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,6400.0,7
8500000,990,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8585.858585858587,11
9300000,1078,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8627.08719851577,10
9900000,1150,kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,8608.695652173914,8
8000000,1150,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6956.521739130435,9
9000000,1060,kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8490.566037735849,8
4200000,680,kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6176.470588235294,3
28000000,2470,kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11336.032388663967,11
40000000,2100,kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,19047.619047619046,3
16000000,2200,kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7272.727272727273,9
17000000,2235,kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1,7606.263982102908,9
9500000,1025,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9268.292682926829,10
9500000,950,kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10000.0,7
7500000,895,kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,8379.888268156425,4
8500000,1114,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,7630.16157989228,11
13000000,1197,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10860.484544695071,8
13700000,1380,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,9927.536231884058,10
8000000,1050,kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7619.047619047619,2
